review,score
As described,5.0
"Defective - Sadly Box was pre-opened, all packs air-tight seals were compromised & flattened with no air in them,& then box sloppily glued closed",1.0
Maybe a mouth full. Won’t be buying again. Pictures are unopened packages. They are really good but just nothing in there.,1.0
Perfect on the go snack or for me at work energy snack. Only wish more honey packets,5.0
Good size for afternoon break time snack. Yummy yummy.,5.0
Always buy these brands of nuts.. was ok,5.0
The overall product is great and the portion size is fine.  My box came open and was missing one of the honey-roasted pouches.,4.0
"Such a delicious, healthy snack!  All 3 varieties have wonderful favors, and they’re always fresh. Perfect size for grab and go snacks for kids and adults.",5.0
Economic variety,5.0
"I guess you always expect mostly air, but dang.  Put some nuts in the bag. That’s the end of the review.",2.0
"Perfect if your a gas station junkie like I am, and I spent a lot of money at the gas station so mine this is better",5.0
They arrived fresh. Keep them in freezer,5.0
Delicious and very few not easy to open.,5.0
"great value for the money. taste is great, fast service, and i have ordered more",5.0
Great snacking nuts and one of my favorites!,5.0
Delicious! Seasoned just right!,5.0
I did eat the nuts but they were not fresh!,3.0
"This years pistachio crop isn't the best, definite lack of flavor.  Not just this brand but every brand I've tried.",3.0
Need I say more?,1.0
Great value for your money. Delish pistachios,5.0
"When I opened this bag of pistachios, we unfortunately found bugs inside the nuts!!! We’ve never had this problem before so we were very disappointed!!",1.0
"1st bite of the cracker & nobody would take a second!!Nasty taste,nowhere near the flavor of a saltine cracker.Garbaged",1.0
"they are stale, not fresh",1.0
"Ordered 2 boxes, one box was open on one end but individual cracker sleeves seem fine. Crackers were mostly intact, only a couple broken at the sleeve ends. Crackers taste funny, almost like a rancid buttery flavor, can't quite place it but I won't be ordering again, did not like the taste.",3.0
"I was kind of expecting these to be cardboard-esque at the price point (and off brand), but no, they're nice flaky crackers with the right amount of salt.",5.0
"The cracker is Fresh, it taste good and the price is right.",4.0
"Excellent flavor, salted just right. Crackers were delivered unbroken. This is my new saltine.",5.0
"Does not maintain structure, so good for soup or chili but not much else. Taste kinda bland/mild and low salt.Will finish what I have, but would not order again or suggest to others.",2.0
"These were the worst crackers I've ever had.  Bought two box's .  Every cracker you take out of package fall apart. First the top and bottom seperate then they fall completely apart. No good for toppings of any kind. Bought this brand a couple times before and they were fine, but why take a chance.These two box's were totally terrible. Two box's eight packages of garbage..  TERRIBLE",1.0
"I have gotten these before and they were ok, but, this time they were hard as a rock.  Will not buy again.",3.0
"These crackers give the appearance that they would be a good substitute for Triscuits.  Despite being well within expiration date, they were devoid of any flavor.  They are thin and hard as a rock, so much so that I feared breaking a crown or tooth.  Rather embarrassing; I put them out for guests and had to throw them away.",1.0
Yum.,5.0
"This chips are real cool you get three different kinds, l love it and 40 of them in a box so we have chip to eat for 12  Oclock meal.",5.0
I love sunchips and was happy to find this deal. A few of our garden salsa chips had no seasoning but because of where we are located it was more of a hassle to try to return them. The rest of the chips were great.,4.0
Great price,5.0
Always been a fan of the SunChips brand since I was a kid getting it with my Subway sandwhich as . Glad I found a 40-pack for an amazing price ! Contents came fresh and taste as perfect .,5.0
"Great price, fast shipping, fresh & tasty. Delivered perfectly packaged with no damage. Thank you!!",5.0
Just the right snack size and good flavors.,5.0
Take these to lunch for work or eat them as a snack!,5.0
I got these for a class event for my daughter’s religious school.,5.0
"I get that ""best by"" dates aren't a strict indicator of ""freshness until"" - but holy crap, don't sell me old chips at regular price!",2.0
"They TASTED ok-ish... tho they'd have been great of topped by some sugar crystals... but none... nada... underwhelmed. So I paid a bit extra to get 'meh' instead of the WOW! I was expecting... I mean, can usually 'score these for $2.50 or less? Paid $$4 something as I recall.",2.0
taste a littel dall,4.0
They were stale n hard. Must be from xmas,2.0
My absolute favorite cookies,5.0
If I had the money I would buy one every week,5.0
very good!,5.0
Will absolutely buy them again!,5.0
Cookies were all broken when I received them. Very disappointing,2.0
"My mother love these and you can't find them year around, so I turned to good ol' Amazon.",5.0
These are some of our favorite cookies! They are so buttery and yummy - and best of all they are inexpensive! Highly recommend trying them!,5.0
"I love figs and these although too sweet (too many sugars), they are a nice treat!",5.0
"These cookies are delicious and practically melt in your mouth! I love the individual packages for portion control. I need all the help I can get! Thanks, Nature's Bakery...",5.0
"Pleasantly sweet, not cloying like most fig cookies, with nice, crumbly cookie. No artificial ingredients. Guilt free!",5.0
They taste great and are a simple grab and go item for the busy lifestyle. I usually have them in the morning when I don’t have time to make something before work.  I was actually surprised when I first tried them. I was expecting like the old fashion fig bars I had been accustomed to growing up.  These however are way better and they actually taste like the flavors they are (raspberry).,5.0
These are the real thing. Taste like figs. Amazon subscription price is half my local discount grocery.,5.0
These are a good convenient snack. Good quality,5.0
Love these bats.,5.0
,1.0
These are very delicious!  Hard to stop at just one pack.,5.0
Very soft and fresh tasting cookie. Not as gritty as the name brand fig bars in the store. We like that they are packed two to a package.,4.0
Life Savers.......how can you go wrong.  Individually wrapped and good as ever.,5.0
Tastes awsome and whoke some. Not like cheap candies sold here and there.,5.0
I love the delicious flavors available in this bag. The sweet and sour flavors are amazing.,5.0
Fresh and taste great,5.0
This huge bag of lifesavers cost less than $10 including shipping!,5.0
"I have always loved Life Savers hard candy.  In this bag, more than a third are broken, especially the orange ones.  Still taste good.",4.0
Great value,4.0
Will be a nice self treat.,3.0
Love it,5.0
Soooooo many,5.0
Problem with these is they over do the pretzels. Most bags I opened in both boxes I bought had a ton of pretzel sticks and the regular pretzels. Want a equal taste. I could buy pretzels for that but what fun would that be.,3.0
More bagel crisps I say!!!! Still a favorite snack of the entire family.,5.0
"I bought these before a long flight. I really like the convenience of the small bags which are easier to pack and good for portion control. Obviously the larger bag is cheaper per oz. but these are really good if you need/prefer a smaller amount of mix (flight, road trip, camping, etc.).The mix tasted just as good as the normal bag. Perfectly fine and fresh.",5.0
The best snack!,5.0
Very good! Great size bags too! Bigger than little kid bags. We all love them,5.0
What else to say but a yummy snack!,5.0
Easy to use and just the right amount as a snack. Good price too.,5.0
Great size for lunches,5.0
Great snack,5.0
Not a fan,2.0
They have great flavor what more is there to say!,5.0
"Taste good, but there are less than 10 pieces in an individual pouch.",4.0
The whole family enjoy these! Tasteful!,5.0
Great flavor and fast delivery.  This is the snack the kids always ask for.,5.0
I have ordered these many times and they have always been delicious. The value is much better than in the store. Perfect little snack.,5.0
I really love these. Great value also.,5.0
Me gustan estas gummies.,4.0
I'm 62 and love these fruit snacks,5.0
Very tasty and no damage. Thank you.,5.0
Arrived at house in smashed box with expiration date a few days away. Tasted horrible and very hard to chew.,1.0
Great portion size,5.0
Good,5.0
They were fresh and lightly salted no complaints.,5.0
Worked great!,5.0
Great for having on my desk. Good price for the amount.,5.0
"Product arrived opened, nuts everywhere in the shipping box and crushed, only to out it is not returnable, and it is not refundable. I SHOULD NOT have bought this item :(",1.0
Great,5.0
Fresh fresh and fresh I was very impressed with the freshness of these nuts I love the fact that they’re automatically portion controlled will definitely buy them again,5.0
Healthy snacks aren't easy to come by. These single serving bags were perfect for my latest trip. I'll be sure to order more.,5.0
Favorite brand of pistachios! And I love that you go packaging for when needed road trips,5.0
Delicious but too expensive,5.0
Tasty bars,5.0
Highly recommend,5.0
These bars taste awful.. They also coat your mouth and they are yucky!,1.0
"The taste is amazing, low sugar, and protein! I eat 2 every morning!",5.0
"I am trusting that this is a protein bar... because the flavor makes me think it is a delicious breakfast/candy bar! And not the overly sweet kind either - but mouthwatering flavorful. Seriously, these taste amazing, and the nutrition ratios (carbs vs fats vs proteins) are phenomenal for a snack that tastes this good. Not really Keto friendly with 10g of carbs - but great ratios if you are just going for low carb and want something sweet with decent protein and fat for ~220-ish calories.",5.0
rnative when on the go and need a snack. I find these pretty tasty compared to many protein bars I have tried.,5.0
These are always tasty and are great to take for snacks.  I take them to work and it's a better option than the company vending machine.,5.0
I have always loved power crunch bars and found that they are the best tasting protein bar on the market with the best nutritional value. Ordering these from amazon also has the best value. My favorite flavors so far and chocolate peanut butter and mint. I find that vanilla has a very artificial taste. My only complaint is that they are incredibly crumbly and messy and impossible to eat on the go  or in the car without a mess. All in all a very good product!,5.0
Best protein bars I’ve ever had!,5.0
Snap into over 100 Slim Jim’s!,5.0
These 2 boxes expire 1 day after I receive them.  You should have a good 2/3 years for this product.  Terrible,1.0
Perfect for on the go and super yummy,5.0
I like Slim Jim’s for snacking occasions.,5.0
Smaller than expected but taste was amazing... addictive to say the least it was still fresh when I got it,3.0
Love these as a guilty treat post-gym. However they are WAY TOO SALTY. Like almost 1000mg of salt in one stick. It is simply too much. Wish they were 50% as salty and 150% as spicy as they are. Probably won't be ordering again.,4.0
It’s may 05/23/23 and the best by date is may 05/7/23 :( the slim Jim isn’t like a fresh slim Jim. It’s hard and has an off flavor. Looks like I won’t order any more jerky off Amazon,2.0
The whole box is expired. And of course no returns.,1.0
I eat this for the protein. Good flavor and good price,5.0
The outer portion of Slim Jims is very hard to chew. I gave Slim Jims to a neighbor and I won't order them again.,1.0
"My third order - this bag is dry, tasteless, terrible.Can't return,  going in the trash.",1.0
"These almonds came in a sealed bag; however, the almonds were soft and mushy inside. Absolutely not worth the money, and they cannot be returned since it’s a food product.PS:  The Happy Belly walnuts are great.",1.0
Too stale. Can not even eat. Roasted and still chewy. Awful.,1.0
"Based on reviews, I tried the 48oz bag and was unimpressed. The almonds had very little crunch and just didn't seem fresh. The best buy date is 2024, so freshness isn't an issue according to the date on the bag, but I was unimpressed nontheless. I will try a smaller bag and give the brand another chance, but I don't hold high hopes right now.",3.0
"Liked low calorie ,however not roasted and no salt which I prefer, left nuts somewhat tasteless.",3.0
"I did not like the taste, some of them were bad.  I don’t like food to go waste so I ate them all but I won’t buy them again.",1.0
Just nuts about them!,5.0
Unfortunately the batch I received was stale. And bland tasting reminds me of cardboard I'd avoid them unless it's just a rare bad case but I'm not sure I want to spend money again on such a risk. Vastly disappointing 😞,2.0
I returned as they tasted ranvid. Not good for eating raw.  Maybe ok for cooking?,1.0
Good almonds.,5.0
These were perfect for my kids.,5.0
Some of the products were stale. More than a couple.,2.0
Video Player is loading.,4.0
"Fresh, undamaged boxes or bags.  Kids apricate them in their lunches.",5.0
I opened my box and tried to get cookies but there were ALREADY OPENN,1.0
Each product was very near its expire date.,1.0
Right size for kids lunch and snacks,5.0
I bought this for my fiancé for his snacks for work. He loved receiving it! It made a great addition to the rest of his Christmas presents.,5.0
Great price and variety to send as a care package... college or just for fun!,5.0
We buy these for our Amazon delivery drivers and we tell them to take a snack and a drink,5.0
My go to breakfast bars,5.0
HARD AS ROCKS NOT RETURNABLE,1.0
tastes good and filling. not filled with carbohydrates. I love them,5.0
I love these and eat 1 for breakfast daily.,5.0
"Tastes like a treat. Love that it’s got some protein and minimal, real food ingredients. Favorite flavors are chocolate sea salt, maple, coconut, and mint. Blueberry is also yummy. Grab the pumpkin slice and gingerbread when seasonally available - SO good.",5.0
I have these bars sent once a month and it has never been a problem but last months box was rock hard☹️,3.0
"OMG, this is the worst protein bar I have every tasted in my life !!!  Like chewing on an old tire and the taste is straight out of a sludge factory.  Nasty nasty nasty.  I tried holding my nose to eat one and no matter what I spit it out.  Eat this an you will need Counseling, it's that bad !!!  Go to the hardware store, get a rubber door mat and a bag of mixed nuts, break an egg on it, pour the mixed nuts on it and have a fun !!!  YUCK !!!!",1.0
These are bad. Nothing redeeming about them. I gave them away.,1.0
"I always have a bunch of these my kitchen, because they are easy ways to get protein with healthy nutrients as well",5.0
"I ordered mid-April and got RXBars that expired on January 31, 2023.  That should not be allowed.",1.0
Item delivered lster so all good! Thanks!,5.0
Fresh hot popcorn .  THIS MAKES A GREAT GIFT,5.0
"Don't know if this product is out of date? Or what, however ' it tends to leave a waxy after taste in your mouth..It's quite strange...",3.0
We have become addicted to it and enjoy it daily for snacks.,5.0
"Only about 30% of the corn pops, and several packages were not buttered.not sure what the hell I have here",3.0
"There is nothing like having a bowl of hot buttered popcorn when ever the need arise's, for movie night or TV series night and for entertaining. Put a bag in the microwave and like 140 seconds later it's done and ready to eat, it's that easy and off you go.",5.0
Very good deal. Great price! Will buy again. Recommended. Don’t buy too much I’ll be back for more lol.,5.0
I ordred this for a friend who loves popcorn and this is her favorite brand. She was thrilled.,5.0
Costs a little more than others but worth every penny!! Not too greasy or salty! Phenomenal flavor!!,5.0
"Have you ever bought microwave popcorn and been disappointed because it tasted stale? No more worries when you get this home. Oh my goodness! Every single kernel popped, I'm not joking. It was perfectly lightly salted and just the perfect amount of butter! It was better than the kind at the movie theater and less greasy. I think it should be called Orville Readyandbetter. Really good popcorn. Thanks.",5.0
My granddaughter loves these and it’s nice not feeling guilty when I treat her to one. They are really good too.,5.0
Love them and will buy again!,5.0
"My kids love the suckers! And if they’re good for their teeth, even better! Highly recommend!",5.0
"We love lots of variety from zolli pops! I enjoy that they're a healthier option and still great tasting, of course they're great for us right now with a toddler potty training! They make excellent treats as reward for using the potty",5.0
All my kids loved these pops i sat the bag down gave them all 1 and by the time i got back they had eaten the whole bag,5.0
"This is the only candy I actually feel comfortable giving my 14m old. She loves it, eats the whole thing every time now with a huge smile on her face & gets clean teeth. It’s a win win!",5.0
Fun treat for my toddler,5.0
My daughter loves these and I am so happy this is not bad for her,5.0
I didn't expect these to taste good but they really are great tasting for being sugar-free. I love these,5.0
These suckers are a game changer! Kid approved and parent approved! Much healthier for you little ones and zero sugar and dyes!,5.0
Nos gustaron,5.0
"The cookies were fresh and had good flavor, however the tin was dented, most likely during delivery. It was packaged loosely in a bag with no protective bubble wrap. So, for this reason I would not give it as a gift since there’s no guarantee how the condition will be upon arrival.",4.0
Will order more,5.0
I gift these cookies to a relative from time to time and she loves them.  It's also nice that they are packaged in a tin and thus stay fresh.,5.0
My husband  loves these cookies  We normally 😋 can get this during holidays,5.0
Great butter tasting cookies.  Came well packaged and fresh,5.0
"if you're looking for crushed cookies to sprinkle on something then buy these cookies through amazon.  If you want them the way they were meant to be go somewhere else.  Amazon ships them in a bag.aside from the shipping issue and damaged merchandise.  These are some of the best cookies I've had, I usually eat them during holidays.  Still though they are better whole and when sent care should be taken to make sure you get the package in one piece (pun intended).",5.0
"Just received my new tin of cookies.  Where did the sugar crystals go? I really miss those on some of the cookies.  These have a sort of cinnamon/sugar on top--with very little sugar, and NOT crystals.  Very disappointing.",5.0
Good,5.0
"I would like to say,  I will buy again",5.0
Taste great with 20+ grams protein,5.0
"Tasty and have very good texture. Really good bonus: it keep form on the hot, even inside of the backpack.",5.0
this was my first time,5.0
"Awesome. Half the price of the other flavor, so a better choice. But I don’t understand why the difference price is different.",4.0
Too much sugar and tastes like cheap chocolate. Never again.,1.0
"These are like my justified candy bars! 20 grams of protein without any protein flavor! Chewy, with the perfect amount of caramel and milky chocolate. If you like 100 Grand bars, you’ll LOVE these! Plus, they arrived unmelted!",5.0
Way too many calories for just 20g of proteins (330). No wonder why these are the cheapest. Do your research!!,2.0
"Gatorade's protein bars are easily the best protein bars. They taste the best than others I've had by far, tasting like a chewier granola bar than the more common bitter taste known for protein bars. Would highly recommend for any protein bars!",5.0
It tasted and smelt horrible 🤢,2.0
Very rich in chocolate. Almost to hard to eat,4.0
"The taste is good but they give you awful, never-ending gas and diarrhea for days!",1.0
